Instructions,Responses
Quantas horas didáticas podem ser ministradas em um dia?,"Os cursos podem funcionar com um máximo de 8 horas didáticas em um dia, respeitando um intervalo mínimo de 2 horas entre as aulas."
O que é necessário para a aprovação do discente em uma disciplina?,"Para ser aprovado em uma disciplina, o discente deve obter uma Média Final igual ou superior a 5,0 e ter 75% de frequência."
"O que acontece com o discente que tem uma Média dos Exercícios Escolares (MEE) igual ou superior a 8,0?","O discente que obtiver uma MEE igual ou superior a 8,0 será considerado aprovado na disciplina e dispensado da prova final, resguardando-se o direito de realizá-la."
Quais são as situações em que o discente pode justificar a sua ausência?,"O discente pode justificar a ausência em casos de doença, estado de gestação, luto, convocação militar, participação em eventos científicos, entre outros, conforme o Art. 12."
Qual é o prazo para solicitar a justificativa de ausência após a atividade acadêmica?,"O requerimento de justificativa de ausência deve ser feito no prazo de 5 dias úteis, contados da data da atividade acadêmica."
Quais documentos são necessários para justificar a ausência?,"É necessário apresentar um documento que comprove a justificativa, conforme disciplinado no Art. 12 da Resolução."
O que deve ser feito caso o docente precise se ausentar?,O docente deve reprogramar a atividade em comum acordo com os discentes e registrar no Diário Eletrônico ou ser substituído por outro docente autorizado.
Quem é responsável por comunicar a ausência do docente?,A ausência do docente deve ser comunicada pelo superior hierárquico imediato ao Coordenador do Curso e ao Diretor da Unidade Acadêmica.
O que é a Média dos Exercícios Escolares (MEE)?,"A Média dos Exercícios Escolares (MEE) é a média das avaliações realizadas durante o semestre, que pode influenciar na aprovação do discente."
Como é calculada a Média Final (MF) do discente?,A Média Final (MF) é consignada como a Média dos Exercícios Escolares (MEE) quando o discente é dispensado da prova final.
Quais são os direitos dos discentes conforme a Resolução?,"Os direitos dos discentes incluem a justificativa de ausências e a regulamentação das atividades acadêmicas, conforme as normas estabelecidas."
Como a legislação brasileira influencia a autonomia da UFAM?,"A autonomia da UFAM é garantida pelo Art. 207 da Constituição Federal e pelas leis que regem a educação, permitindo que a universidade estabeleça suas próprias diretrizes."
Qual é a importância do Projeto Pedagógico no contexto da UFAM?,"O Projeto Pedagógico é fundamental, pois orienta a estrutura e o funcionamento dos cursos de graduação, garantindo a qualidade do ensino."
O que deve ser incluído no Plano de Ensino?,"O Plano de Ensino deve incluir a identificação da disciplina, carga horária total, créditos, pré-requisitos, e informações sobre os professores."
Como as atividades práticas são organizadas na UFAM?,As atividades práticas são organizadas de acordo com a carga horária e os créditos estabelecidos no Projeto Pedagógico da disciplina.
Quais são as consequências de não apresentar a justificativa de ausência?,As justificativas de ausência que não estiverem acompanhadas dos documentos exigidos ou forem intempestivas poderão ser indeferidas.
É permitido que outra pessoa assine o requerimento de justificativa de ausência?,"Sim, o requerimento de justificativa de ausência pode ser assinado por qualquer pessoa, desde que encaminhado ao Coordenador de Curso."
Qual é a norma que regulamenta os exercícios domiciliares na UFAM?,"Os exercícios domiciliares são regulamentados pela Lei nº 6.202, de 17 de abril de 1975, que atribui o regime de exercícios domiciliares aos discentes."
Qual a carga horária correspondente a um crédito teórico na UFAM?,Um crédito teórico corresponde a 15 horas-aula na Universidade Federal do Amazonas.
Qual a carga horária correspondente a um crédito prático na UFAM?,Um crédito prático corresponde a 30 horas-aula na Universidade Federal do Amazonas.
Como é definido o período letivo na UFAM?,"O período letivo corresponde a 100 dias de trabalho escolar efetivo, excluindo o tempo reservado para as avaliações finais."
Quais são os requisitos para que um discente seja considerado aprovado em uma disciplina na UFAM?,"O discente deve obter uma Média Final igual ou superior a 5,0 e ter uma frequência mínima de 75% nas aulas."
"O que acontece se um discente obtiver uma Média dos Exercícios Escolares (MEE) igual ou superior a 8,0?","O discente será considerado aprovado na disciplina e dispensado da prova final, mas ainda terá o direito de realizá-la."
Quais são as situações em que um discente pode justificar a ausência nas atividades acadêmicas?,"As justificativas incluem doenças comprovadas, gravidez, luto, missões militares, convocação para reservas, participação em eventos científicos ou competições, e doação de sangue."
Qual o prazo para que um discente apresente um requerimento de justificativa de ausência?,"O discente deve apresentar o requerimento de justificativa de ausência no prazo de 5 dias úteis, contados da data da atividade acadêmica a ser justificada."
O que ocorre se o requerimento de justificativa de ausência não estiver acompanhado dos documentos exigidos?,O requerimento será indeferido se não estiver devidamente acompanhado dos documentos exigidos.
Quais são as penalidades para um docente que não comparecer às atividades programadas?,"O docente deve reprogramar a atividade em comum acordo com os discentes ou ser substituído por outro docente, com autorização do coordenador de curso."
Como os cursos de graduação da UFAM são organizados em relação aos créditos?,"Os cursos funcionam em regime de crédito semestral, onde cada crédito teórico e prático tem uma carga horária específica."
Qual é a estrutura mínima de um Plano de Ensino na UFAM?,"O Plano de Ensino deve conter a identificação da disciplina, carga horária total, créditos, pré-requisitos e informações sobre o professor."
Qual é a duração mínima de um horário de aula na UFAM?,A duração mínima de um horário de aula é de 60 minutos.
O que deve ser feito em caso de ausência do docente?,O docente deve comunicar sua ausência ao seu superior imediato e poderá ser substituído por outro docente autorizado.
Quais são os requisitos para o registro acadêmico do discente que se ausentou por justificativa?,O discente deve apresentar o requerimento de justificativa acompanhado dos documentos que comprovam a sua ausência.
Quais são os turnos em que os cursos funcionam na UFAM?,"Os cursos funcionam nos turnos prescritos nos respectivos Projetos Pedagógicos, respeitando um máximo de 08 horas didáticas por dia."
É permitido realizar atividades práticas em dias diferentes dos teóricos?,"Sim, mas as atividades práticas e teóricas devem ser programadas conforme o horário estabelecido no plano de ensino."
O que deve constar no Diário Eletrônico em caso de reprogramação de atividades?,A reprogramação deve ser registrada no Diário Eletrônico pelo docente junto com a data e hora da atividade remarcada.
Quais são os tipos de conteúdo que podem ser abordados nas aulas?,"As aulas podem ser teóricas (T) ou práticas (P), conforme o plano de ensino estabelecido."
O que deve ser feito se um discente for convocado para depoimento judicial?,O discente deve apresentar uma declaração da autoridade convocante para justificar sua ausência.
Qual é o prazo máximo para a entrega dos exercícios escolares após sua aplicação?,Os exercícios escolares devem ser entregues até 30 (trinta) dias após sua aplicação.
